album_name,track_title,track_n,lyric,line,preprocessed_lyric,emotion
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You put your eyes on me,17,put eye,fear
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"In this moment now, capture it, remember it",18,"moment , capture , remember",fear
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Cause I don't know how it gets better than this,19,cause n't know get better,love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"You take my hand and drag me head first, fearless",20,"take hand drag head first , fearless",sadness
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I don't know why but with you I'd dance,21,n't know 'd dance,anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"In a storm in my best dress, fearless",22,"storm best dress , fearless",anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"Oh, oh",23,"oh , oh",anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"Well, you stood there with me in the doorway",24,"well , stood doorway",joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"My hands shake, I'm not usually this way but",25,"hand shake , 'm usually way",anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You pull me in and I'm a little more brave,26,pull 'm little brave,love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"It's the first kiss, it's flawless, really something",27,"'s first kiss , 's flawless , really something",love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,It's fearless,28,'s fearless,sadness
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"Oh, yeah",29,"oh , yeah",joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,'Cause I don't know how it gets better than this,30,'cause n't know get better,anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"You take my hand and drag me head first, fearless",31,"take hand drag head first , fearless",joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I don't know why but with you I'd dance,32,n't know 'd dance,fear
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"In a storm in my best dress, fearless",33,"storm best dress , fearless",sadness
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,'Cause I don't know how it gets better than this,34,'cause n't know get better,love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"You take my hand and drag me head first, fearless",35,"take hand drag head first , fearless",anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I don't know why but with you I'd dance,36,n't know 'd dance,anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"In a storm in my best dress, fearless",37,"storm best dress , fearless",anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"Oh, oh",38,"oh , oh",joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"Oh-oh, yeah",39,"oh-oh , yeah",joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,You take a deep breath and you walk through the doors,1,take deep breath walk door,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,It's the mornin' of your very first day,2,'s mornin ' first day,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,You say hi to your friends you ain't seen in a while,3,say hi friend ai n't seen,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Try and stay out of everybody's way,4,try stay everybody 's way,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,It's your freshman year and you're gonna be here,5,'s freshman year 're gon na,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,For the next four years in this town,6,next four year town,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Hopin' one of those senior boys will wink at you and say,7,hopin ' one senior boy wink say,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"""You know, I haven't seen you around before""",8,"`` know , n't seen around ''",anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,'Cause when you're fifteen and somebody tells you they love you,9,'cause 're fifteen somebody tell love,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,You're gonna believe them,10,'re gon na believe,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"And when you're fifteen, feelin' like there's nothin' to figure out",11,"'re fifteen , feelin ' like 's nothin ' figure",love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"Well, count to ten, take it in",12,"well , count ten , take",anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,This is life before you know who you're gonna be,13,life know 're gon na,anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,At fifteen,14,fifteen,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,You sit in class next to a redhead named Abigail,15,sit class next redhead named abigail,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"And soon enough, you're best friends",16,"soon enough , 're best friend",fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Laughin' at the other girls who think they're so cool,17,laughin ' girl think 're cool,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,We'll be outta here as soon as we can,18,'ll outta soon,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And then you're on your very first date and he's got a car,19,'re first date 's got car,anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And you're feelin' like flyin',20,'re feelin ' like flyin ',love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And your mama's waitin' up and you're thinkin' he's the one,21,mama 's waitin ' 're thinkin ' 's one,anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And you're dancin' 'round your room when the night ends,22,'re dancin ' 'round room night end,joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,When the night ends,23,night end,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,'Cause when you're fifteen and somebody tells you they love you,24,'cause 're fifteen somebody tell love,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,You're gonna believe them,25,'re gon na believe,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And when you're fifteen and your first kiss,26,'re fifteen first kiss,joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"Makes your head spin around, well",27,"make head spin around , well",anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,In your life you'll do things greater than,28,life 'll thing greater,joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Datin' the boy on the football team,29,datin ' boy football team,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,I didn't know it at fifteen,30,n't know fifteen,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,When all you wanted was to be wanted,31,wanted wanted,joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Wish you could go back and tell yourself what you know now,32,wish could go back tell know,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"Back then, I swore I was gonna marry him someday",33,"back , swore gon na marry someday",joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,But I realized some bigger dreams of mine,34,realized bigger dream mine,anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And Abigail gave everything she had,35,abigail gave everything,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,To a boy who changed his mind,36,boy changed mind,fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And we both cried,37,cried,anger
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Cause when you're fifteen and somebody tells you they love you,38,cause 're fifteen somebody tell love,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,You're gonna believe them,39,'re gon na believe,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"And when you're fifteen, don't forget to look before you fall",40,"'re fifteen , n't forget look fall",love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,But I've found time can heal most anything,41,'ve found time heal anything,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,And you just might find who you're supposed to be,42,might find 're supposed,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,I didn't know who I was supposed to be,43,n't know supposed,love
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,At fifteen,44,fifteen,sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"La-la-la, la-la-la, la-la-la-la",45,"la-la-la , la-la-la , la-la-la-la",fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"La-la-la, la-la-la, la-la-la-la",46,"la-la-la , la-la-la , la-la-la-la",fear
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"La-la-la, la-la-la",47,"la-la-la , la-la-la",joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Your very first day,48,first day,joy
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,"Take a deep breath, girl",49,"take deep breath , girl",sadness
Fearless (Taylor’s Version),Fifteen (Taylor’s Version),2,Take a deep breath as you walk through the doors,50,take deep breath walk door,love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,We were both young when I first saw you,1,young first saw,joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,I close my eyes and the flashback starts,2,close eye flashback start,anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,I'm standing there,3,'m standing,sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,On a balcony in summer air,4,balcony summer air,anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"See the lights, see the party, the ball gowns",5,"see light , see party , ball gown",love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,See you make your way through the crowd,6,see make way crowd,fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And say, ""Hello""",7,"say , `` hello ''",joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,Little did I know,8,little know,sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"That you were Romeo, you were throwing pebbles",9,"romeo , throwing pebble",sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And my daddy said, ""Stay away from Juliet""",10,"daddy said , `` stay away juliet ''",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,And I was crying on the staircase,11,cry staircase,love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Begging you, ""Please don't go,"" and I said",12,"begging , `` please n't go , '' said",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Romeo, take me somewhere we can be alone",13,"romeo , take somewhere alone",joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I'll be waiting, all there's left to do is run",14,"'ll waiting , 's left run",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,You'll be the prince and I'll be the princess,15,'ll prince 'll princess,anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, ""Yes""",16,"'s love story , baby , say , `` yes ''",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,So I sneak out to the garden to see you,17,sneak garden see,love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,We keep quiet 'cause we're dead if they knew,18,keep quiet 'cause 're dead knew,anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,So close your eyes,19,close eye,love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Escape this town for a little while, oh, oh",20,"escape town little , oh , oh",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"'Cause you were Romeo, I was a scarlet letter",21,"'cause romeo , scarlet letter",love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And my daddy said, ""Stay away from Juliet""",22,"daddy said , `` stay away juliet ''",anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,But you were everything to me,23,everything,fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I was begging you, ""Please don't go,"" and I said",24,"begging , `` please n't go , '' said",sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Romeo, take me somewhere we can be alone",25,"romeo , take somewhere alone",joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I'll be waiting, all there's left to do is run",26,"'ll waiting , 's left run",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,You'll be the prince and I'll be the princess,27,'ll prince 'll princess,fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, ""Yes""",28,"'s love story , baby , say , `` yes ''",joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Romeo, save me, they're trying to tell me how to feel",29,"romeo , save , 're trying tell feel",anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"This love is difficult, but it's real",30,"love difficult , 's real",love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Don't be afraid, we'll make it out of this mess",31,"n't afraid , 'll make mess",fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, ""Yes""",32,"'s love story , baby , say , `` yes ''",anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Oh, oh",33,"oh , oh",love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,And I got tired of waiting,34,got tired waiting,sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,Wondering if you were ever coming around,35,wondering ever coming around,joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,My faith in you was fading,36,faith fading,fear
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,When I met you on the outskirts of town,37,met outskirt town,sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And I said, ""Romeo, save me, I've been feeling so alone",38,"said , `` romeo , save , 've feeling alone",joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I keep waiting for you, but you never come",39,"keep waiting , never come",anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Is this in my head? I don't know what to think""",40,head ? n't know think '',joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"He knelt to the ground and pulled out a ring, and said",41,"knelt ground pulled ring , said",sadness
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"""Marry me, Juliet, you'll never have to be alone",42,"`` marry , juliet , 'll never alone",love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,I love you and that's all I really know,43,love 's really know,joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I talked to your dad, go pick out a white dress",44,"talked dad , go pick white dress",love
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, 'Yes'""",45,"'s love story , baby , say , 'yes ' ''",anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Oh, oh, oh",46,"oh , oh , oh",anger
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Oh, oh, oh",47,"oh , oh , oh",joy
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,'Cause we were both young when I first saw you,48,'cause young first saw,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",1,"mmm-mm , mm-mm",fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",2,"mmm-mm , mm-mm",fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm, yeah",3,"mmm-mm , mm-mm , yeah",fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, I know looks can be deceiving",4,"hey stephen , know look deceiving",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,But I know I saw a light in you,5,know saw light,fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,And as we walked we were talking,6,walked talking,anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I didn't say half the things I wanted to,7,n't say half thing wanted,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Of all the girls tossing rocks at your window,8,girl tossing rock window,sadness
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I'll be the one waiting there even when it's cold,9,'ll one waiting even 's cold,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, boy, you might have me believing",10,"hey stephen , boy , might believing",anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I don't always have to be alone,11,n't always alone,anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,'Cause I can't help it if you look like an angel,12,'cause ca n't help look like angel,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,13,ca n't help wan na kiss rain,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,14,come feel magic 've feeling since met,joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,15,ca n't help 's one else,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",16,"mmm , ca n't help",anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, I've been holding back this feeling",17,"hey stephen , 've holding back feeling",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,So I got some things to say to you,18,got thing say,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"I've seen it all, so I thought",19,"'ve seen , thought",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,But I never seen nobody shine the way you do,20,never seen nobody shine way,sadness
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"The way you walk, way you talk, way you say my name",21,"way walk , way talk , way say name",love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"It's beautiful, wonderful, don't you ever change",22,"'s beautiful , wonderful , n't ever change",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, why are people always leaving?",23,"hey stephen , people always leaving ?",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I think you and I should stay the same,24,think stay,sadness
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,'Cause I can't help it if you look like an angel,25,'cause ca n't help look like angel,anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,26,ca n't help wan na kiss rain,fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,27,come feel magic 've feeling since met,anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,28,ca n't help 's one else,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",29,"mmm , ca n't help",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"They're dimming the street lights, you're perfect for me",30,"'re dimming street light , 're perfect",fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Why aren't you here tonight?,31,n't tonight ?,fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"I'm waiting alone now, so come on and come out",32,"'m waiting alone , come come",anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"And pull me near and shine, shine, shine",33,"pull near shine , shine , shine",fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, I could give you fifty reasons",34,"hey stephen , could give fifty reason",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Why I should be the one you choose,35,one choose,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"All those other girls, well, they're beautiful",36,"girl , well , 're beautiful",sadness
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,But would they write a song for you? (Ha-ha-ha),37,would write song ? ( ha-ha-ha ),anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I can't help it if you look like an angel,38,ca n't help look like angel,joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,39,ca n't help wan na kiss rain,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,40,come feel magic 've feeling since met,joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,41,ca n't help 's one else,love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",42,"mmm , ca n't help",joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,If you look like an angel,43,look like angel,joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,44,ca n't help wan na kiss rain,fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,45,come feel magic 've feeling since met,sadness
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,46,ca n't help 's one else,anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",47,"mmm , ca n't help",anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Ah-uh, myself",48,"ah-uh ,",love
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, I can't help myself",49,"mmm-mm , ca n't help",fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I can't help myself,50,ca n't help,fear
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Oh-oh-oh,51,oh-oh-oh,joy
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",52,"mmm-mm , mm-mm",anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",53,"mmm-mm , mm-mm",anger
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",54,"mmm-mm , mm-mm",fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Say you're sorry, that face of an angel",1,"say 're sorry , face angel",fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Comes out just when you need it to,2,come need,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,As I paced back and forth all this time,3,paced back forth time,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,'Cause I honestly believed in you,4,'cause honestly believed,joy
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Holdin' on, the days drag on",5,"holdin ' , day drag",anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Stupid girl, I shoulda known, I shoulda known",6,"stupid girl , shoulda known , shoulda known",fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"That I'm not a princess, this ain't a fairytale",7,"'m princess , ai n't fairytale",sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"I'm not the one you'll sweep off her feet, lead her up the stairwell",8,"'m one 'll sweep foot , lead stairwell",sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"This ain't Hollywood, this is a small town",9,"ai n't hollywood , small town",fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I was a dreamer before you went and let me down,10,dreamer went let,joy
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Now it's too late for you and your white horse,11,'s late white horse,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,To come around,12,come around,sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Maybe I was naïve, got lost in your eyes",13,"maybe naïve , got lost eye",love
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,And never really had a chance,14,never really chance,fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"My mistake, I didn't know to bе in love",15,"mistake , n't know bе love",anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,You had to fight to have the uppеr hand,16,fight uppеr hand,love
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I had so many dreams about you and me,17,many dream,sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Happy endings, now I know",18,"happy ending , know",anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"That I'm not a princess, this ain't a fairytale",19,"'m princess , ai n't fairytale",sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"I'm not the one you'll sweep off her feet, lead her up the stairwell",20,"'m one 'll sweep foot , lead stairwell",sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"This ain't Hollywood, this is a small town",21,"ai n't hollywood , small town",fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I was a dreamer before you went and let me down,22,dreamer went let,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Now it's too late for you and your white horse,23,'s late white horse,joy
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,To come around,24,come around,fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,And there you are on your knees,25,knee,love
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Beggin' for forgiveness, beggin' for me",26,"beggin ' forgiveness , beggin '",love
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Just like I always wanted,27,like always wanted,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,But I'm so sorry,28,'m sorry,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"'Cause I'm not your princess, this ain't our fairytale",29,"'cause 'm princess , ai n't fairytale",sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I'm gonna find someone someday,30,'m gon na find someone someday,fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Who might actually treat me well,31,might actually treat well,fear
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"This is a big world, that was a small town",32,"big world , small town",sadness
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,There in my rearview mirror disappearing now,33,rearview mirror disappearing,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,And it's too late for you and your white horse,34,'s late white horse,anger
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Now it's too late for you and your white horse,35,'s late white horse,love
